,count,mean,std,min,25%,50%,75%,max,variance,missing,missing_percent,zeros_percent
PRF1,76893.0,0.40458377994667594,0.8984569662423304,-0.880537693135736,-0.002888372640234,0.0083469721018114,0.129548746994889,4.75221633556239,0.807224920189372,0,0.0,16.0
KLRB1,76893.0,0.2988083676729776,0.6894701497930508,-1.21639187086924,0.0,0.0137709484071804,0.163580420703098,5.2519912672967,0.47536908745565193,0,0.0,16.95
CLIC3,76893.0,0.22683731145412417,0.6311285880287469,-1.257270137478,-0.0003339603056248,0.0049090342129596,0.0472593358294977,5.31471026827896,0.39832329462715976,0,0.0,17.47
IRF8,76893.0,0.32434159450975564,0.5970767391389977,-0.879091532352873,0.0,0.0305449414484242,0.421155902855807,4.64661843977598,0.3565006324208588,0,0.0,13.07
S100B,76893.0,0.12240646765523261,0.4200570166822442,-1.5202342777953,0.0,0.0053965823125183,0.0396347947944844,4.31717262993247,0.17644789726398719,0,0.0,17.98
SPON2,76893.0,0.22988839849976075,0.675448394337271,-0.814483185047174,-0.0048470036211472,0.0039416421638729,0.0418603693791513,5.12219308460349,0.45623053341279757,0,0.0,16.76
RRM2,76893.0,0.006823960212363993,0.06640159084556344,-0.787703337502476,0.0,5.48686382763406e-05,0.0023759168467751,3.13560978489416,0.004409171266821614,0,0.0,23.04
NRGN,76893.0,0.07525352146068795,0.27057475038440854,-0.861104066656724,-0.0012685426316891,0.0012157042515378,0.0183010025039255,4.79230321615814,0.07321069554558497,0,0.0,18.53
GZMA,76893.0,0.6069091750573299,1.1510251274687155,-0.809956783275987,0.0,0.0182313321906642,0.380696550892885,5.90323781848575,1.3248588440643727,0,0.0,15.09
IFITM3,76893.0,0.5402767915497215,0.9399973840151795,-0.953070522123568,0.0,0.0736996534266356,0.688979467948628,4.84985255123522,0.883595081955381,0,0.0,12.19
MKI67,76893.0,0.004758565108535525,0.06968345446474124,-0.406344232998214,-0.0007525950609975,0.0,0.0018769866835277,3.39389617941622,0.004855783826139666,0,0.0,22.97
CLEC4C,76893.0,0.023495980802610793,0.20438871875412964,-0.26687164175334,0.0,4.24037577817302e-05,0.002108604334983,4.04052967330862,0.041774748353954706,0,0.0,25.52
ENHO,76893.0,0.016632939411666423,0.13625125598336335,-0.714744534890883,-0.0004218381477494,0.0,0.0011210506879365,3.41087140981082,0.018564404757044007,0,0.0,24.26
MS4A7,76893.0,0.3161232617841002,0.7163222031878558,-1.21185565142742,0.0,0.0116584527836167,0.143687532795412,4.84613957204183,0.5131174987799038,0,0.0,14.92
LST1,76893.0,0.749015433867969,1.1667959170256854,-1.09345653093659,0.0,0.110116884684163,1.35467488785842,5.2110557956816,1.36141271198781,0,0.0,11.08
S100A12,76893.0,0.2806097777184718,0.7247020095187333,-0.740043702370069,0.0,0.0224671610891658,0.0682219442328742,5.51762665379364,0.5251930026004903,0,0.0,14.89
UGCG,76893.0,0.1959083088128742,0.38932344500913774,-0.953812048739913,0.0,0.0869601888697642,0.19985698227061,4.24091835767447,0.1515727448337831,0,0.0,14.93
TREML1,76893.0,0.00199031391774061,0.06110128885404557,-0.47999700727743,-0.000361656751572,0.0,0.0,3.20972803386607,0.0037333674996255133,0,0.0,33.89
KLRD1,76893.0,0.3636997756864744,0.8458041957188805,-0.996010891238598,0.0,0.0051854669847656,0.0422281158609011,5.56722886184396,0.7153847374956624,0,0.0,17.77
TMEM40,76893.0,0.0002842980776456089,0.04067550999811097,-1.00841520689896,-0.0005266741081874,0.0,0.0,3.70141256595374,0.0016544971136064255,0,0.0,31.67
FCN1,76893.0,0.6880585301941704,1.2110031953756546,-1.09327999377953,0.0,0.0556294694306288,0.8620352675482,6.12408701612755,1.4665287392100457,0,0.0,12.23
TSC22D1,76893.0,0.06322906308147738,0.1889413442119408,-1.34613742691635,0.0,0.0321010454433838,0.0689667174354613,4.38238846416895,0.0356988315526151,0,0.0,16.94
